year,city,lagos_avg_temp,Decade_MA_lagos,global_avg_temp,Decade_MA_global
2013,Lagos,27.36,,9.61,
2012,Lagos,27.15,,9.51,
2011,Lagos,27.35,,9.52,
2010,Lagos,27.79,,9.7,
2009,Lagos,27.53,,9.51,
2008,Lagos,27.3,,9.43,
2007,Lagos,27.46,,9.73,
2006,Lagos,27.53,,9.53,
2005,Lagos,27.39,,9.7,
2004,Lagos,27.32,27.418,9.32,9.556
2003,Lagos,27.37,27.419,9.53,9.548
2002,Lagos,27.13,27.417,9.57,9.554
2001,Lagos,26.92,27.374,9.41,9.543
2000,Lagos,27.02,27.297,9.2,9.493
1999,Lagos,27.03,27.247,9.29,9.471
1998,Lagos,27.53,27.27,9.52,9.48
1997,Lagos,26.91,27.215,9.2,9.427
1996,Lagos,26.92,27.154,9.04,9.378
1995,Lagos,27.07,27.122,9.35,9.343
1994,Lagos,26.84,27.074,9.04,9.315
1993,Lagos,26.9,27.027,8.87,9.249
1992,Lagos,26.73,26.987,8.84,9.176
1991,Lagos,26.88,26.983,9.18,9.153
1990,Lagos,27.06,26.987,9.23,9.156
1989,Lagos,26.71,26.955,8.92,9.119
1988,Lagos,27.04,26.906,9.2,9.087
1987,Lagos,27.51,26.966,8.99,9.066
1986,Lagos,26.65,26.939,8.83,9.045
1985,Lagos,26.74,26.906,8.66,8.976
1984,Lagos,26.98,26.92,8.69,8.941
1983,Lagos,26.99,26.929,9.03,8.957
1982,Lagos,26.66,26.922,8.64,8.937
1981,Lagos,26.79,26.913,9.17,8.936
1980,Lagos,26.85,26.892,8.98,8.911
1979,Lagos,26.99,26.92,8.73,8.892
1978,Lagos,26.73,26.889,8.69,8.841
1977,Lagos,27.01,26.839,8.85,8.827
1976,Lagos,26.37,26.811,8.35,8.779
1975,Lagos,26.27,26.764,8.74,8.787
1974,Lagos,26.44,26.71,8.47,8.765
1973,Lagos,27.2,26.731,8.95,8.757
1972,Lagos,26.91,26.756,8.5,8.743
1971,Lagos,26.56,26.733,8.6,8.686
1970,Lagos,26.92,26.74,8.7,8.658
1969,Lagos,26.89,26.73,8.6,8.645
1968,Lagos,26.67,26.724,8.52,8.628
1967,Lagos,26.43,26.666,8.7,8.613
1966,Lagos,26.84,26.713,8.6,8.638
1965,Lagos,26.53,26.739,8.53,8.617
1964,Lagos,26.48,26.743,8.41,8.611
1963,Lagos,27.01,26.724,8.86,8.602
1962,Lagos,26.55,26.688,8.75,8.627
1961,Lagos,26.46,26.678,8.8,8.647
1960,Lagos,26.68,26.654,8.58,8.635
1959,Lagos,26.72,26.637,8.73,8.648
1958,Lagos,26.68,26.638,8.77,8.673
1957,Lagos,26.65,26.66,8.73,8.676
1956,Lagos,26.31,26.607,8.28,8.644
1955,Lagos,26.42,26.596,8.63,8.654
1954,Lagos,26.28,26.576,8.56,8.669
1953,Lagos,26.66,26.541,8.87,8.67
1952,Lagos,26.66,26.552,8.64,8.659
1951,Lagos,26.89,26.595,8.63,8.642
1950,Lagos,26.57,26.584,8.37,8.621
1949,Lagos,26.98,26.61,8.59,8.607
1948,Lagos,26.61,26.603,8.75,8.605
1947,Lagos,26.98,26.636,8.8,8.612
1946,Lagos,26.72,26.677,8.68,8.652
1945,Lagos,27.07,26.742,8.58,8.647
1944,Lagos,27.07,26.821,8.85,8.676
1943,Lagos,26.53,26.808,8.76,8.665
1942,Lagos,26.95,26.837,8.73,8.674
1941,Lagos,27.36,26.884,8.77,8.688
1940,Lagos,26.81,26.908,8.76,8.727
1939,Lagos,26.39,26.849,8.76,8.744
1938,Lagos,26.82,26.87,8.86,8.755
1937,Lagos,26.96,26.868,8.7,8.745
1936,Lagos,26.66,26.862,8.55,8.732
1935,Lagos,26.9,26.845,8.52,8.726
1934,Lagos,26.89,26.827,8.63,8.704
1933,Lagos,26.93,26.867,8.34,8.662
1932,Lagos,26.46,26.818,8.71,8.66
1931,Lagos,26.85,26.767,8.72,8.655
1930,Lagos,26.84,26.77,8.63,8.642
1929,Lagos,26.48,26.779,8.24,8.59
1928,Lagos,26.75,26.772,8.63,8.567
1927,Lagos,26.88,26.764,8.52,8.549
1926,Lagos,26.97,26.795,8.73,8.567
1925,Lagos,26.64,26.769,8.53,8.568
1924,Lagos,26.95,26.775,8.51,8.556
1923,Lagos,26.63,26.745,8.42,8.564
1922,Lagos,26.73,26.772,8.41,8.534
1921,Lagos,26.77,26.764,8.57,8.519
1920,Lagos,26.72,26.752,8.36,8.492
1919,Lagos,26.7,26.774,8.38,8.506
1918,Lagos,26.41,26.74,8.13,8.456
1917,Lagos,26.96,26.748,8.02,8.406
1916,Lagos,26.6,26.711,8.23,8.356
1915,Lagos,26.81,26.728,8.59,8.362
1914,Lagos,26.75,26.708,8.59,8.37
1913,Lagos,26.65,26.71,8.3,8.358
1912,Lagos,26.17,26.654,8.17,8.334
1911,Lagos,25.72,26.549,8.18,8.295
1910,Lagos,26.13,26.49,8.22,8.281
1909,Lagos,26.08,26.428,8.18,8.261
1908,Lagos,26.15,26.402,8.19,8.267
1907,Lagos,25.96,26.302,7.95,8.26
1906,Lagos,26.21,26.263,8.38,8.275
1905,Lagos,26.16,26.198,8.23,8.239
1904,Lagos,25.48,26.071,8.09,8.189
1903,Lagos,25.68,25.974,8.22,8.181
1902,Lagos,26.09,25.966,8.3,8.194
1901,Lagos,26.53,26.047,8.54,8.23
1900,Lagos,26.42,26.076,8.5,8.258
1899,Lagos,26.31,26.099,8.4,8.28
1898,Lagos,25.79,26.063,8.18,8.279
1897,Lagos,26.29,26.096,8.29,8.313
1896,Lagos,25.87,26.062,8.21,8.296
1895,Lagos,25.92,26.038,8.15,8.288
1894,Lagos,25.59,26.049,8.16,8.295
1893,Lagos,25.67,26.048,8.06,8.279
1892,Lagos,25.49,25.988,8.07,8.256
1891,Lagos,25.29,25.864,8.02,8.204
1890,Lagos,24.86,25.708,7.97,8.151
1889,Lagos,25.34,25.611,8.32,8.143
1888,Lagos,25.42,25.574,8.09,8.134
1887,Lagos,25.09,25.454,7.91,8.096
1886,Lagos,25.87,25.454,7.95,8.07
1885,Lagos,26.01,25.463,7.92,8.047
1884,Lagos,26.43,25.547,7.77,8.008
1883,Lagos,26.42,25.622,7.98,8
1882,Lagos,26.01,25.674,8.13,8.006
1881,Lagos,26.39,25.784,8.27,8.031
1880,Lagos,26.14,25.912,8.12,8.046
1879,Lagos,25.67,25.945,8.17,8.031
1878,Lagos,26.26,26.029,8.83,8.105
1877,Lagos,26.35,26.155,8.54,8.168
1876,Lagos,25.82,26.15,8.08,8.181
1875,Lagos,25.82,26.131,7.86,8.175
1874,Lagos,26.08,26.096,8.43,8.241
1873,Lagos,26.46,26.1,8.35,8.278
1872,Lagos,,,8.19,
1871,Lagos,,,8.12,
1870,Lagos,,,8.2,
1869,Lagos,,,8.43,
1868,Lagos,,,8.25,
1867,Lagos,,,8.44,
1866,Lagos,,,8.29,
1865,Lagos,,,8.18,
1864,Lagos,,,7.98,
1863,Lagos,,,8.11,
1862,Lagos,25.9,,7.56,
1861,Lagos,25.95,,7.85,
1860,Lagos,26.01,,7.96,
1859,Lagos,26.18,,8.25,
1858,Lagos,25.92,,8.1,
1857,Lagos,25.45,,7.76,
1856,Lagos,26.35,,8,
1855,Lagos,,,8.11,
1854,Lagos,,,8.21,
1853,Lagos,,,8.04,
1852,Lagos,,,8.1,
1851,Lagos,26.1,,8.18,
1850,Lagos,25.87,,7.9,
1849,Lagos,25.98,,7.98,
